dataset,priority_group,baseline_candidate,selector_policy,records,baseline_unstable_records,baseline_unstable_pct,rescued_records,rescued_pct_of_records,rescued_pct_of_baseline_failures,baseline_peak_outside_records,baseline_pga_loss_records,baseline_energy_loss_records,median_energy_gain,p05_energy_gain,median_pga_gain,median_duration_change_sec,selector_full_record_fallback_records
InstanceGM,low_magnitude_background,feature_onset_fixed,shortest_stable_no_catalog,9000,7387,82.07777777777778,7387,82.07777777777778,100.0,1358,1320,7387,0.34372523977059544,-0.016088632709631148,0.0,61.650000000000006,200
InstanceGM,m3_to_m4_small_event,feature_onset_fixed,shortest_stable_no_catalog,9000,6947,77.18888888888888,6947,77.18888888888888,100.0,2301,2261,6947,0.2576755728955731,-0.02061673145727133,0.0,29.14,161
InstanceGM,m4plus_strong_motion,feature_onset_fixed,shortest_stable_no_catalog,13344,11134,83.43824940047962,11134,83.43824940047962,100.0,4979,4923,11134,0.41494962912800865,-0.020333876146619592,0.0,38.15,51
K-NET,low_magnitude_background,feature_onset_fixed,shortest_stable_no_catalog,21,0,0.0,0,0.0,0.0,0,0,0,-0.024720191359460797,-0.0342128125779696,0.0,-30.1,0
K-NET,m3_to_m4_small_event,feature_onset_fixed,shortest_stable_no_catalog,5647,92,1.6291836373295554,92,1.6291836373295554,100.0,3,3,92,-0.02353563509230938,-0.030258810721910313,0.0,-22.61,17
K-NET,m4plus_strong_motion,feature_onset_fixed,shortest_stable_no_catalog,15473,781,5.047502100433012,781,5.047502100433012,100.0,22,22,780,-0.02394418426187761,-0.030176721655683237,0.0,-15.600000000000001,16
K-NET,other,feature_onset_fixed,shortest_stable_no_catalog,978,44,4.4989775051124745,44,4.4989775051124745,100.0,0,0,44,-0.02247975755020859,-0.028574721149335625,0.0,-13.274999999999999,6
InstanceGM,ALL,feature_onset_fixed,shortest_stable_no_catalog,31344,25468,81.25319040326697,25468,81.25319040326697,100.0,8638,8504,25468,0.3470301083102593,-0.01920491676420904,0.0,42.940000000000005,412
K-NET,ALL,feature_onset_fixed,shortest_stable_no_catalog,22119,917,4.14575704145757,917,4.14575704145757,100.0,25,25,916,-0.02378661920772107,-0.030157563960216228,0.0,-17.31,39
ALL,ALL,feature_onset_fixed,shortest_stable_no_catalog,53463,26385,49.351888221760845,26385,49.351888221760845,100.0,8663,8529,26384,0.011445133449859535,-0.028760133022097435,0.0,-0.00999999999999801,451
InstanceGM,low_magnitude_background,energy_onset_fixed,shortest_stable_no_catalog,9000,7004,77.82222222222222,7004,77.82222222222222,100.0,1191,1151,7004,0.30202030504771926,-0.01932072605533731,0.0,61.650000000000006,200
InstanceGM,m3_to_m4_small_event,energy_onset_fixed,shortest_stable_no_catalog,9000,5491,61.01111111111111,5491,61.01111111111111,100.0,1399,1372,5491,0.05928468931970804,-0.02544390497910883,0.0,29.135,161
InstanceGM,m4plus_strong_motion,energy_onset_fixed,shortest_stable_no_catalog,13344,9418,70.57853717026379,9418,70.57853717026379,100.0,2616,2559,9418,0.13007434018018338,-0.02504372690089816,0.0,38.15,51
K-NET,low_magnitude_background,energy_onset_fixed,shortest_stable_no_catalog,21,0,0.0,0,0.0,0.0,0,0,0,-0.023853044129215628,-0.03424521571240835,0.0,-30.1,0
K-NET,m3_to_m4_small_event,energy_onset_fixed,shortest_stable_no_catalog,5647,91,1.611475119532495,91,1.611475119532495,100.0,3,3,91,-0.02358637169086586,-0.03040485915539497,0.0,-22.61,17
K-NET,m4plus_strong_motion,energy_onset_fixed,shortest_stable_no_catalog,15473,557,3.5998190396173984,557,3.5998190396173984,100.0,4,4,556,-0.024396298457602383,-0.030464637929692784,0.0,-15.61,16
K-NET,other,energy_onset_fixed,shortest_stable_no_catalog,978,38,3.885480572597137,38,3.885480572597137,100.0,0,0,38,-0.022434787187615823,-0.02888573961515179,0.0,-13.28,6
InstanceGM,ALL,energy_onset_fixed,shortest_stable_no_catalog,31344,21913,69.91130678917816,21913,69.91130678917816,100.0,5206,5082,21913,0.1481588727995708,-0.024119612070213032,0.0,42.94,412
K-NET,ALL,energy_onset_fixed,shortest_stable_no_catalog,22119,686,3.1014060310140605,686,3.1014060310140605,100.0,7,7,685,-0.024103787896068374,-0.030413625300180692,0.0,-17.31,39
ALL,ALL,energy_onset_fixed,shortest_stable_no_catalog,53463,22599,42.27035519892262,22599,42.27035519892262,100.0,5213,5089,22598,0.0,-0.029186029581481497,0.0,0.0,451
InstanceGM,low_magnitude_background,catalog_p_fixed,shortest_stable_no_catalog,9000,7078,78.64444444444445,7078,78.64444444444445,100.0,960,923,7078,0.27703121053853136,-0.019246930092834697,0.0,61.64,200
InstanceGM,m3_to_m4_small_event,catalog_p_fixed,shortest_stable_no_catalog,9000,5735,63.72222222222222,5735,63.72222222222222,100.0,908,877,5735,0.07135159848518391,-0.025409195372837805,0.0,29.14,161
InstanceGM,m4plus_strong_motion,catalog_p_fixed,shortest_stable_no_catalog,13344,10076,75.50959232613909,10076,75.50959232613909,100.0,3155,3093,10076,0.192551165081213,-0.024715883998429965,0.0,38.15,51
K-NET,low_magnitude_background,catalog_p_fixed,shortest_stable_no_catalog,21,0,0.0,0,0.0,0.0,0,0,0,-0.023740421873432394,-0.03421144920295138,0.0,-30.1,0
K-NET,m3_to_m4_small_event,catalog_p_fixed,shortest_stable_no_catalog,5647,94,1.6646006729236762,94,1.6646006729236762,100.0,1,1,94,-0.023528361765932315,-0.030248835244143103,0.0,-22.61,17
K-NET,m4plus_strong_motion,catalog_p_fixed,shortest_stable_no_catalog,15473,753,4.86654171783106,753,4.86654171783106,100.0,25,25,752,-0.024021907560066835,-0.030204716987662694,0.0,-15.61,16
InstanceGM,ALL,catalog_p_fixed,shortest_stable_no_catalog,31344,22889,73.02514037774375,22889,73.02514037774375,100.0,5023,4893,22889,0.17076667916056149,-0.023957817635218082,0.0,42.945,412
K-NET,ALL,catalog_p_fixed,shortest_stable_no_catalog,21141,847,4.006432997493023,847,4.006432997493023,100.0,26,26,846,-0.023907695210976465,-0.030218591663079386,0.0,-17.56,33
ALL,ALL,catalog_p_fixed,shortest_stable_no_catalog,52485,23736,45.22434981423264,23736,45.22434981423264,100.0,5049,4919,23735,0.0012015813930885688,-0.02893544938341337,0.0,0.0,445
InstanceGM,low_magnitude_background,feature_onset_to_energy_end,shortest_stable_no_catalog,9000,230,2.555555555555556,230,2.555555555555556,100.0,2,1,228,0.0,0.0,0.0,0.0,200
InstanceGM,m3_to_m4_small_event,feature_onset_to_energy_end,shortest_stable_no_catalog,9000,173,1.9222222222222225,173,1.9222222222222225,100.0,5,4,168,0.0,0.0,0.0,0.0,161
InstanceGM,m4plus_strong_motion,feature_onset_to_energy_end,shortest_stable_no_catalog,13344,52,0.38968824940047964,52,0.38968824940047964,100.0,2,1,50,0.0,0.0,0.0,0.0,51
K-NET,low_magnitude_background,feature_onset_to_energy_end,shortest_stable_no_catalog,21,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0
K-NET,m3_to_m4_small_event,feature_onset_to_energy_end,shortest_stable_no_catalog,5647,21,0.3718788737382681,21,0.3718788737382681,100.0,0,0,21,0.0,0.0,0.0,0.0,17
K-NET,m4plus_strong_motion,feature_onset_to_energy_end,shortest_stable_no_catalog,15473,22,0.1421831577586764,22,0.1421831577586764,100.0,1,1,21,0.0,0.0,0.0,0.0,16
K-NET,other,feature_onset_to_energy_end,shortest_stable_no_catalog,978,7,0.7157464212678937,7,0.7157464212678937,100.0,0,0,7,0.0,0.0,0.0,0.0,6
InstanceGM,ALL,feature_onset_to_energy_end,shortest_stable_no_catalog,31344,455,1.45163348647269,455,1.45163348647269,100.0,9,6,446,0.0,0.0,0.0,0.0,412
K-NET,ALL,feature_onset_to_energy_end,shortest_stable_no_catalog,22119,50,0.22605000226050004,50,0.22605000226050004,100.0,1,1,49,0.0,0.0,0.0,0.0,39
ALL,ALL,feature_onset_to_energy_end,shortest_stable_no_catalog,53463,505,0.9445784935375867,505,0.9445784935375867,100.0,10,7,495,0.0,0.0,0.0,0.0,451
